number        myTime                       sysTime
5000    .06870000000000000000      .00340000000000000000
5000    .07090000000000000000      .00380000000000000000
10000    .27610000000000000000      .00530000000000000000
20000    1.35820000000000000000      .01010000000000000000
30000    3.30820000000000000000      .01570000000000000000
40000    6.76780000000000000000      .02180000000000000000
50000    10.08190000000000000000      .02500000000000000000
60000    20.24640000000000000000      .03460000000000000000
5000    .27300000000000000000      .00560000000000000000
10000    .27410000000000000000      .00520000000000000000
60000    .27070000000000000000      .00540000000000000000
20000    .27660000000000000000      .00530000000000000000
50000    .27310000000000000000      .00540000000000000000
30000    .27540000000000000000      .00530000000000000000
5000    .27610000000000000000      .00540000000000000000
5000    .06740000000000000000      .00370000000000000000
10000    .27410000000000000000      .00530000000000000000
20000    1.34020000000000000000      .01010000000000000000
30000    6.07860000000000000000      .02090000000000000000
40000    6.65880000000000000000      .02000000000000000000
30000    3.30480000000000000000      .01440000000000000000
40000    6.14330000000000000000      .01920000000000000000
50000    9.91460000000000000000      .02370000000000000000
60000    14.79920000000000000000      .02870000000000000000
5000    .01220000000000000000      .00260000000000000000
10000    .01720000000000000000      .00360000000000000000
20000    .02670000000000000000      .00530000000000000000
30000    .03730000000000000000      .00830000000000000000
40000    .04580000000000000000      .00990000000000000000
50000    .05490000000000000000      .01200000000000000000
60000    .06530000000000000000      .01400000000000000000
5000    .01260000000000000000      .00290000000000000000
10000    .01700000000000000000      .00410000000000000000
20000    .02740000000000000000      .00600000000000000000
30000    .03660000000000000000      .00850000000000000000
40000    .04660000000000000000      .01100000000000000000
50000    .05760000000000000000      .01380000000000000000
60000    .06560000000000000000      .01590000000000000000
40000    .04570000000000000000      .01000000000000000000
5000    .02960000000000000000      .00520000000000000000
10000    .04070000000000000000      .00650000000000000000
5000    .01710000000000000000      .00340000000000000000
10000    .02150000000000000000      .00450000000000000000
20000    .03370000000000000000      .00760000000000000000
0000    .01320000000000000000      .00270000000000000000
30000    .05050000000000000000      .01240000000000000000
40000    .05520000000000000000      .01220000000000000000
50000    .09560000000000000000      .02440000000000000000
60000    .09500000000000000000      .02590000000000000000
50000    .08000000000000000000      .02190000000000000000
50000    .09470000000000000000      .02540000000000000000
50000    .07770000000000000000      .02120000000000000000
5000    .01900000000000000000      .00460000000000000000
5000    .01680000000000000000      .00420000000000000000
5000    .02100000000000000000      .00500000000000000000
5000    .01590000000000000000      .00420000000000000000
10000    .02830000000000000000      .00660000000000000000
20000    .04540000000000000000      .01240000000000000000
30000    .06670000000000000000      .02060000000000000000
30000    .06120000000000000000      .01640000000000000000
30000    .06040000000000000000      .01830000000000000000
30000    .06980000000000000000      .01900000000000000000
30000    .06530000000000000000      .01940000000000000000
30000    .05760000000000000000      .01700000000000000000
30000    .06600000000000000000      .02060000000000000000
30000    .06140000000000000000      .01780000000000000000
40000    .08080000000000000000      .02600000000000000000
40000    .08590000000000000000      .02640000000000000000
40000    .08440000000000000000      .02500000000000000000
40000    .07460000000000000000      .01920000000000000000
40000    .08070000000000000000      .02260000000000000000
40000    .08550000000000000000      .02400000000000000000
40000    .08610000000000000000      .02660000000000000000
40000    .08370000000000000000      .02650000000000000000
40000    .08490000000000000000      .02380000000000000000
50000    .09940000000000000000      .02950000000000000000
50000    .09840000000000000000      .02960000000000000000
60000    .10450000000000000000      .03320000000000000000
60000    .11070000000000000000      .03480000000000000000
60000    .12380000000000000000      .03830000000000000000
60000    .10320000000000000000      .03190000000000000000
60000    .11500000000000000000      .03550000000000000000
60000    .11370000000000000000      .03440000000000000000
60000    .11230000000000000000      .03410000000000000000
60000    .11890000000000000000      .03600000000000000000
60000    .11950000000000000000      .03870000000000000000
